"statistic","p.value","parameter","method","Metric"
65.3548314536747,4.21169148969426e-14,3,"Kruskal-Wallis rank sum test","Shannon"
57.5800202131481,1.93236233718468e-12,3,"Kruskal-Wallis rank sum test","Simpson"
57.5800202131481,1.93236233718468e-12,3,"Kruskal-Wallis rank sum test","InvSimpson"
48.6511079307004,1.54774370277935e-10,3,"Kruskal-Wallis rank sum test","Observed"
